name,city,country_iso,iata,icao,lat,lon,type,country
MBS International Airport,Freeland,US,MBS,KMBS,43.533181,-84.083104,medium_airport,United States
Merced Regional Macready Field,Merced,US,MCE,KMCE,37.284698,-120.514,medium_airport,United States
Kansas City International Airport,Kansas City,US,MCI,KMCI,39.301699,-94.713893,large_airport,United States
McCook Ben Nelson Regional Airport,McCook,US,MCK,KMCK,40.207787,-100.592794,medium_airport,United States
Middle Georgia Regional Airport,Macon,US,MCN,KMCN,32.69279861450195,-83.64920043945312,medium_airport,United States
Orlando International Airport,Orlando,US,MCO,KMCO,28.429399490356445,-81.30899810791016,large_airport,United States
Mason City Municipal Airport,Mason City,US,MCW,KMCW,43.159801,-93.329716,medium_airport,United States
Harrisburg International Airport,Harrisburg,US,MDT,KMDT,40.192838,-76.762333,medium_airport,United States
Chicago Midway International Airport,Chicago,US,MDW,KMDW,41.785999,-87.752403,large_airport,United States
Key Field / Meridian Regional Airport,Meridian,US,MEI,KMEI,32.3326,-88.7519,medium_airport,United States
Frederick W. Smith International Airport,Memphis,US,MEM,KMEM,35.043845,-89.97634,large_airport,United States
McAllen Miller International Airport,McAllen,US,MFE,KMFE,26.176141,-98.237965,medium_airport,United States
Rogue Valley International-Medford Airport,Medford,US,MFR,KMFR,42.374199,-122.873001,medium_airport,United States
Michigan City Municipal Airport,Michigan City,US,MGC,KMGC,41.7033,-86.821198,medium_airport,United States
Montgomery Regional (Dannelly Field) Airport,Montgomery,US,MGM,KMGM,32.300598,-86.393997,medium_airport,United States
Morgantown Municipal Airport Walter L. (Bill) Hart Field,Morgantown,US,MGW,KMGW,39.643305,-79.917598,medium_airport,United States
Manhattan Regional Airport,Manhattan,US,MHK,KMHK,39.14099884033203,-96.6707992553711,medium_airport,United States
Manchester-Boston Regional Airport,Manchester,US,MHT,KMHT,42.932598,-71.435699,medium_airport,United States
Miami International Airport,Miami,US,MIA,KMIA,25.796011,-80.289751,large_airport,United States
General Mitchell International Airport,Milwaukee,US,MKE,KMKE,42.947201,-87.896599,large_airport,United States
Muskegon County Airport,Muskegon,US,MKG,KMKG,43.169498,-86.238197,medium_airport,United States
McKellar-Sipes Regional Airport,Jackson,US,MKL,KMKL,35.599899,-88.915604,medium_airport,United States
Melbourne Orlando International Airport,Melbourne,US,MLB,KMLB,28.102009,-80.641088,medium_airport,United States
Quad City International Airport,Moline,US,MLI,KMLI,41.448502,-90.5075,medium_airport,United States
Monroe Regional Airport,Monroe,US,MLU,KMLU,32.510899,-92.037697,medium_airport,United States
Mammoth Yosemite Airport,Mammoth Lakes,US,MMH,KMMH,37.625381,-118.84306,medium_airport,United States
